VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount
2,2015-01-01 18:00:05,2015-01-01 18:05:04,2,1.05,-74.00186920166014,40.74575805664063,1,N,-74.00348663330078,40.73204803466797,2,5.5,0.0,0.5,0.0,0.0,6.3
1,2015-01-01 18:00:06,2015-01-01 18:12:04,1,1.9,-73.97516632080078,40.77737808227539,1,N,-73.986328125,40.75889205932617,2,10.0,0.0,0.5,0.0,0.0,10.8
2,2015-01-01 18:00:06,2015-01-01 18:12:30,1,1.31,-73.96927642822266,40.75685501098633,1,N,-73.98504638671875,40.75814056396485,2,9.0,0.0,0.5,0.0,0.0,9.8
1,2015-01-01 18:00:06,2015-01-01 18:08:19,1,2.4,-73.98715209960938,40.77605438232422,1,N,-73.99764251708984,40.74744033813477,2,9.5,0.0,0.5,0.0,0.0,10.3
1,2015-01-01 18:00:06,2015-01-01 18:17:14,1,5.2,-73.99364471435547,40.7498435974121,1,N,-73.99211120605469,40.69007873535156,2,16.5,0.0,0.5,0.0,0.0,17.3
1,2015-01-01 18:00:06,2015-01-01 18:24:08,1,4.9,-73.9789505004883,40.76222610473633,1,N,-74.00879669189453,40.71891784667969,2,20.5,0.0,0.5,0.0,0.0,21.3
2,2015-01-01 18:00:07,2015-01-01 18:06:48,3,1.43,-73.98987579345702,40.73321533203125,1,N,-74.00142669677734,40.74656677246094,1,7.0,1.0,0.5,2.0,0.0,10.8
1,2015-01-01 18:00:07,2015-01-01 18:03:30,1,0.6,-74.01200866699219,40.70897674560547,1,N,-74.00344085693358,40.70810317993164,2,4.5,0.0,0.5,0.0,0.0,5.3
2,2015-01-01 18:00:07,2015-01-01 18:14:02,2,3.63,-73.98519897460938,40.75213241577149,1,N,-74.01448822021484,40.71713638305664,1,13.0,0.0,0.5,3.9,0.0,17.7
1,2015-01-01 18:00:08,2015-01-01 18:09:29,1,2.7,-73.8730239868164,40.77397537231445,1,N,-73.91290283203125,40.757137298583984,1,10.5,0.0,0.5,2.8,0.0,14.1
1,2015-01-01 18:00:08,2015-01-01 18:07:13,1,0.2,-73.982177734375,40.762542724609375,1,N,-73.98380279541014,40.76042556762695,1,5.7,0.0,0.5,1.3,0.0,7.8
2,2015-01-01 18:00:08,2015-01-01 18:16:11,6,6.94,-73.87286376953125,40.773780822753906,1,N,-73.95646667480467,40.74759292602539,2,21.0,0.0,0.5,0.0,0.0,21.8
2,2015-01-01 18:00:08,2015-01-01 18:08:40,1,3.2,-74.00958251953125,40.70626831054688,1,N,-73.98824310302734,40.722969055175774,2,11.0,1.0,0.5,0.0,0.0,12.8
1,2015-01-01 18:00:08,2015-01-01 18:05:09,1,1.6,-73.98729705810547,40.75557327270508,1,N,-74.0003890991211,40.73703384399415,1,7.0,0.0,0.5,3.0,0.0,10.8
