u,v,length
42425232,42425570,232.098
42425232,42424439,89.324
42425242,42424701,78.221
42425348,595314114,86.158
42425348,595314125,321.042
42425348,2029349871,18.417
42425417,42426971,1047.727
42425425,42425484,119.765
42425425,589927965,204.131
42425484,373760396,130.803
42425570,42435331,82.752
42425570,42425232,232.098
42425681,42437043,485.898
42425681,6266152785,297.5
42425747,6515269079,120.94
42425758,373772209,30.471
42425780,42431666,133.335
42425780,374470740,156.193
42425955,7132405537,112.876
42425955,42427300,162.044
42425955,7132405548,93.49
42425959,374451674,33.213
42426060,4602414021,119.495
42426060,42424630,66.023
42426089,42426060,54.753
42426089,42424619,49.852
42426135,42425747,108.839
42426135,3786728788,28.292
42426374,3099327964,12.939
42426374,595703226,256.193
42426374,42446723,76.877
42426418,3785702998,23.987
42426418,1241820956,357.313
42426665,371337269,633.092
42426665,42426810,259.674
42426665,4515465264,437.034
42426747,42433834,59.268
42426747,42444355,77.366
42426747,279151954,80.926
42426799,42422449,328.925
42426799,371225088,271.203
42426805,596800103,195.578
42426805,42456110,91.605
42426810,5333189422,383.479
42426816,1701844605,37.293
42426816,42453999,72.797
42426851,42450814,160.788
42426865,7137281959,47.106
42426865,370898427,901.905
42426875,589100228,121.709
42426928,42426931,111.345
42426931,42426928,111.345
42426931,1242879136,192.101
42426931,3785702998,350.526
42426957,3702296508,101.651
42426957,3786741452,71.62
42426968,42424235,85.111
42426971,42426968,109.364
42426971,42425484,461.017
42427009,371216381,110.235
42427009,42433490,668.457
42427016,60918583,163.637
42427016,42442734,51.043
42427016,42428080,39.804
42427030,4205892229,135.651
42427030,42450634,172.662
42427036,42427030,169.678
42427070,42447412,160.875
42427086,561035374,18.308
42427086,42428962,79.866
42427086,42427112,132.421
42427112,42428964,88.696
42427112,42427086,132.421
42427112,42427115,80.822
42427115,42441695,225.223
42427115,42427112,80.822
42427115,42427122,82.346
42427122,42428966,123.391
42427122,42427115,82.346
42427122,42427126,78.513
42427126,42441704,173.279
42427126,42427122,78.513
42427126,42427128,82.603
42427128,42427126,82.603
42427128,42427133,118.241
42427128,42428970,157.555
42427133,2499827795,105.31
42427133,42427128,118.241
42427133,42428973,184.131
42427133,42427136,227.693
42427136,42427133,227.693
42427136,42427139,77.548
42427136,42428978,233.729
42427139,42427136,77.548
42427139,42427143,77.396
42427143,42427139,77.396
42427143,42427146,78.382
42427146,42435002,127.82
42427146,42427150,77.407
42427146,42427143,78.382
42427150,42428989,171.359
42427150,42427146,77.407
42427150,42427152,79.221
42427152,42429479,202.359
42427152,42427150,79.221
42427152,42427156,77.918
42427156,42428998,149.259
42427156,42427152,77.918
42427156,42427159,56.432
42427159,42427164,79.264
42427159,42427156,56.432
42427164,42429006,134.432
42427164,42427159,79.264
42427164,42427168,73.289
42427168,60925950,97.759
42427168,42458936,79.305
