u,v,length
42432961,42432963,328.113
42432961,42432960,80.29
42432961,42439601,88.888
42432963,42434259,140.788
42432963,42434255,87.987
42432963,4205440426,84.879
42432963,42432961,328.113
42432967,42448661,140.873
42432967,42432970,79.287
42432967,4205440426,79.539
42432970,42427881,159.098
42432970,42432967,79.287
42432970,42431643,81.932
42432974,42427881,31.581
42432974,4205440429,81.41
42432974,42431643,80.155
42432980,42442645,189.505
42432980,2504882506,82.317
42432980,42432983,82.82
42432983,42432985,85.087
42432983,42432980,82.82
42432985,42432990,170.03
42432985,42442651,154.087
42432985,42439673,98.55
42432985,42432983,85.087
42432990,42456979,45.577
42432990,42442656,110.321
42432990,42432992,82.648
42432990,42432985,170.03
42432992,42432994,80.376
42432992,42432990,82.648
42432992,42439711,94.156
42432994,42438257,72.597
42432994,42432999,82.807
42432994,42432992,80.376
42432999,42432994,82.807
42432999,42433011,68.451
42432999,42446919,77.659
42433011,42442671,49.88
42433011,2075596386,78.22
42433014,2075596386,30.657
42433014,42442671,57.783
42433014,42442684,95.546
42433017,42433014,37.189
42433020,42433024,84.689
42433020,561035378,184.919
42433020,42433017,95.087
42433024,42442697,109.278
42433024,42433020,84.689
42433024,42433027,89.778
42433027,2499803009,16.482
42433027,2499803004,20.446
42433027,42433024,89.778
42433027,42437319,143.771
42433030,42455234,62.115
42433030,42432228,78.495
42433030,561035381,66.763
42433030,2499803009,101.279
42433035,561035382,20.404
42433035,7132814246,52.959
42433035,42455238,106.813
42433041,42454622,130.277
42433041,42433043,82.15
42433043,42428985,72.062
42433043,42428984,104.629
42433043,42433044,76.198
42433044,42455245,134.003
42433044,42429466,80.776
42433044,42433043,76.198
42433046,42454611,133.909
42433046,42433057,82.115
42433046,42429466,82.683
42433057,42446337,118.862
42433057,42433058,85.321
42433057,42433046,82.115
42433058,42436807,133.945
42433058,42433060,79.088
42433058,42433057,85.321
42433060,42449631,118.997
42433060,42433062,79.723
42433060,42433058,79.088
42433062,42452147,134.743
42433062,42433064,81.882
42433062,42433060,79.723
42433064,42449637,118.891
42433064,42428086,79.487
42433064,42433062,81.882
42433066,42444060,134.141
42433066,42433068,72.991
42433066,42428086,88.306
42433066,42444069,118.833
42433068,42433069,77.731
42433068,42433066,72.991
42433068,42449639,118.92
42433069,42438199,118.762
42433069,42438189,133.717
42433069,42433072,74.736
42433069,42433068,77.731
42433072,42455259,133.844
42433072,42433075,76.31
42433072,42433069,74.736
42433075,42433077,86.909
42433075,42433072,76.31
42433075,42449644,118.426
42433075,42454102,134.094
42433077,42445675,134.191
42433077,42433080,86.674
42433077,42433075,86.909
42433080,42436293,118.66
42433080,42433097,79.224
42433080,42433077,86.674
42433097,42455335,133.934
42433097,42433107,79.418
42433097,42433080,79.224
42433107,42449654,119.287
42433107,42433115,76.018
42433107,42433097,79.418
42433115,42433107,76.018
42433115,1762221470,81.401
42433115,42455337,133.894
42433138,42427769,53.673
42433138,42427773,113.154
42433138,42433151,24.868
42433151,42453586,40.938
42433151,42433138,24.868
42433151,42451932,81.252
42433161,2141026500,224.55
42433161,42433163,92.57
42433163,42431201,92.08
42433163,42433161,92.57
42433163,3099327974,81.898
42433165,42433173,93.337
42433165,42431201,93.594
42433165,3099326121,176.459
42433173,2141026546,33.643
42433173,1705982030,56.791
42433173,42433165,93.337
42433205,42433212,57.284
42433205,42433231,13.848
42433212,42433218,61.828
42433212,42452620,108.414
42433218,42433243,29.924
42433218,3350498747,106.189
42433229,42444271,118.244
42433229,42422283,101.191
42433231,42433229,81.294
42433231,5378284711,105.705
42433237,42433231,58.341
42433243,42433218,29.924
42433243,42433237,60.73
42433243,42438476,91.314
42433252,42442549,79.42
42433256,42431104,132.857
42433256,42441889,84.054
42433260,42433261,45.737
42433260,42433286,52.232
42433261,42433286,37.601
42433261,4679523598,122.144
42433264,42432194,121.466
42433264,42433261,72.835
42433269,42433264,73.97
42433269,42430813,33.191
42433272,42430824,18.573
42433275,42449076,135.6
42433275,42433272,76.665
42433278,42432205,57.826
42433278,42433275,71.661
42433281,42430235,145.99
42433281,1692433942,77.484
42433282,42433260,39.696
42433286,42433822,89.434
42433292,42428468,80.72
42433292,42449582,75.51
42433295,42433292,76.096
42433295,42456211,123.402
42433298,42433295,75.568
42433298,3584752508,141.106
42433298,42433356,66.12
42433302,42448430,212.591
42433302,4121409402,131.909
42433324,588455858,30.822
42433324,42437135,61.025
42433330,673008453,119.006
42433330,42440347,73.361
42433339,42442656,82.265
42433339,42442651,85.071
42433346,42433151,134.003
42433346,42451932,132.725
42433346,42427768,80.059
42433354,3584752508,56.792
42433354,42433356,147.522
42433356,42456303,51.74
42433356,42433354,147.522
42433377,3631837585,102.041
42433385,42449010,67.255
42433385,4779073677,79.481
42433421,42433422,63.457
42433422,42424145,1364.459
42433431,42424117,152.393
42433431,42424133,214.14
42433490,3631837584,132.073
42433513,42456101,312.005
42433513,42450468,212.391
42433537,42433539,232.249
42433537,588455742,67.87
42433537,42435910,75.922
42433539,42433537,232.249
42433539,42433542,52.065
42433539,42453691,63.116
42433542,42435920,78.409
42433542,42433539,52.065
42433542,42433543,82.138
42433542,42429636,61.132
42433543,42433542,82.138
42433543,42457821,20.163
42433545,42457821,21.417
42433545,5796726888,58.123
42433545,7480301986,192.256
42433550,42435925,75.727
42433550,42433551,129.501
42433550,7480301986,129.11
42433551,11038072541,185.11
42433551,42433553,156.271
42433551,42433550,129.501
42433553,588455700,76.38
42433553,42433554,52.325
42433553,42433551,156.271
42433554,4375208206,190.608
42433554,42435931,84.01
42433554,42433553,52.325
42433554,11038072465,83.588
42433564,42427915,85.709
42433564,42435308,80.737
42433565,42443280,83.577
42433565,42433564,273.54
42433567,42433565,271.685
42433567,42437305,79.866
42433569,42441587,80.34
42433569,42437312,88.271
42433569,42431027,141.179
42433573,42440829,80.889
42433573,42440825,57.582
42433574,42452040,76.517
42433574,42433573,148.487
42433577,42432148,163.545
42433577,42442273,76.182
42433578,42433577,160.493
42433578,42454423,80.016
42433581,1919595926,15.21
42433581,1692433924,141.361
42433581,42448558,80.351
42433587,42449817,78.443
42433587,42456205,76.698
42433604,42443950,78.435
42433604,42445910,154.586
42433611,42439960,77.337
42433611,42428268,141.088
42433620,42433611,273.738
42433620,42435654,79.21
42433625,42433620,274.054
42433625,4207913309,56.044
42433644,42433625,273.815
42433644,42423885,82.637
42433712,42433715,80.973
42433712,246901366,160.68
42433715,42429521,81.377
42433715,279152444,35.277
42433715,42433718,79.603
42433715,42433712,80.973
42433718,42437819,32.653
42433718,9802614802,79.842
42433718,42433715,79.603
42433743,2141026499,13.726
42433743,4016646214,241.163
42433779,3099327948,13.528
42433779,42440376,78.566
42433781,2141026520,15.397
42433781,42439897,78.447
42433785,42433781,266.201
42433785,42435860,78.722
42433785,42435858,79.611
42433789,42439601,78.777
42433789,42439599,79.42
42433789,42433785,133.087
42433797,42442613,78.868
42433797,42442609,78.999
42433800,42433797,134.797
42433800,42453757,86.371
42433811,42441951,79.359
42433811,42428917,188.189
42433821,42430233,130.218
42433821,42451987,29.224
42433822,42433821,80.493
42433822,42451987,70.945
42433822,42430803,41.273
42433834,42426747,59.268
42433834,42444360,67.674
42433834,42431898,67.08
42433927,42435497,184.1
42433927,7106818626,737.197
42434072,42434074,155.376
42434072,42432693,79.744
42434074,42445924,78.874
42434074,42434077,85.995
42434077,42443811,77.999
42434077,42443810,80.829
42434077,596775840,57.132
42434085,42444049,79.644
42434085,42434087,153.8
42434087,42449954,79.108
42434087,42434090,216.827
42434090,42434092,229.984
42434090,42442947,80.325
42434092,595105581,68.245
42434092,42455932,77.312
42434097,42438839,179.269
42434097,42438246,162.636
42434097,42434098,86.567
42434098,42438247,156.69
42434098,42435997,81.32
42434098,42434097,86.567
42434098,42434101,204.044
42434101,7732653969,60.186
42434101,2541754747,262.963
42434101,42434098,204.044
42434105,7732653970,267.769
42434105,42424679,56.066
42434105,10128931543,76.655
42434105,42429541,80.124
42434110,3099327931,14.291
42434110,42436001,79.067
42434111,42434113,265.632
42434111,42429536,78.859
42434113,42432949,113.594
42434113,42435837,79.155
42434113,42429538,79.663
42434117,42446203,304.09
42434117,42444452,85.566
42434122,42434117,154.843
42434122,42446177,79.546
42434129,42444457,85.664
42434129,589928028,140.736
42434131,42434129,153.965
42434131,42450089,78.194
42434134,42434131,217.749
42434134,42443116,85.219
42434135,371239962,86.373
42434135,42423189,197.415
42434140,42434142,216.312
42434140,42443296,36.64
42434140,42434196,77.808
42434142,4012724171,227.99
42434142,42434201,78.786
42434148,42434215,77.802
42434148,42449023,75.556
42434158,42434160,271.395
42434158,42443353,85.567
42434160,1061531637,131.372
42434160,42438045,79.544
42434161,42441564,85.435
42434161,42438052,79.92
42434165,42444485,79.474
42434166,42446086,85.79
42434166,42434165,154.563
42434168,596776167,17.448
42434168,42457660,85.648
42434169,42434168,147.5
42434169,42444495,79.864
42434172,42434169,153.542
42434172,42450044,85.827
42434175,42434172,217.296
42434175,42443052,79.082
42434179,42434175,228.386
42434179,4779073679,86.913
42434196,4015190382,74.396
42434196,42434140,77.808
42434197,42443799,74.089
42434197,42434196,52.92
42434201,42434197,162.533
42434201,42442851,73.132
42434205,42434201,228.171
42434205,4012724171,77.642
42434215,42434148,77.802
42434215,42444829,73.682
42434215,42434205,214.282
42434226,42434215,223.715
42434226,2324482224,77.619
42434226,42444832,73.713
42434233,42455181,77.957
42434233,42444833,73.453
42434233,42434226,227.969
42434237,42455412,77.685
42434237,42444835,73.406
42434237,42434233,228.496
42434246,2141026518,15.521
42434246,42434249,266.468
42434246,42439910,85.807
42434249,42434251,96.282
42434249,42434246,266.468
42434249,42435869,84.897
42434249,42435865,85.884
42434251,42440056,84.895
42434251,42434255,89.608
42434251,42434249,96.282
42434255,42432963,87.987
42434255,42439613,248.462
42434255,42434251,89.608
42434259,42434262,132.231
42434259,42432963,140.788
42434259,42448655,84.705
42434259,42444854,86.336
42434262,561035361,266.25
42434262,42434259,132.231
42434262,42442625,84.501
42434262,42442621,87.16
42434264,42428931,135.977
42434264,42441953,86.505
42434264,42441955,86.605
42434268,42428198,61.968
42434268,42443671,78.186
42434270,42439836,78.721
42434270,42430269,273.78
42434271,4205565533,31.091
42434271,42434270,273.801
42434279,42434271,278.999
42434279,42443674,79.681
42434285,42422258,267.179
42434285,42434279,268.785
42434285,42437914,86.097
42434306,42434308,265.122
42434306,42439225,79.078
42434308,42434314,95.535
42434308,42435880,29.648
42434308,42435876,79.298
42434314,42440065,79.044
42434314,42439228,79.344
42434338,42434340,132.279
42434338,42443582,79.122
42434338,42439210,79.547
42434340,561035365,266.958
42434340,42442635,78.152
42434340,42439213,79.745
42434343,42441771,80.401
42434343,42439216,80.429
42434343,42442058,329.676
42434352,42431453,87.521
42434352,42440721,107.712
42434352,42440729,153.738
42434354,42431453,80.831
42434354,42434355,74.089
42434354,42449890,154.375
42434355,42434357,75.038
42434355,42437021,150.463
42434355,42434354,74.089
42434357,42434355,75.038
42434357,42434358,74.13
42434357,42437283,154.814
42434358,42434357,74.13
42434358,42434360,74.34
42434360,42437529,70.618
42434360,42434358,74.34
42434361,42445587,78.756
42434370,42436929,115.716
42434370,1202018697,106.792
42434372,42434370,147.378
42434377,596776325,143.032
42434377,42432376,120.384
42434377,42446152,81.248
42434382,42458112,81.697
42434382,42434384,142.653
42434384,42447187,79.348
42434384,42434385,155.001
42434385,42450066,80.333
42434385,42434386,216.045
42434386,42443072,79.488
42434386,42434389,228.408
42434389,42426805,171.297
42434389,42456110,81.225
42434410,42422050,67.412
42434410,42428374,117.061
42434412,42422038,46.473
42434412,42436192,123.008
42434418,42434420,164.494
42434418,42429842,45.006
42434420,42422053,52.976
42434427,42437663,124.292
42434427,9971300853,46.229
42434427,42437670,148.059
42434429,427842070,24.215
42434429,1533280147,78.577
42434429,427841052,171.615
42434434,42434439,77.525
42434434,42455751,147.606
42434439,42437368,124.495
42434439,42437371,148.102
42434465,42437688,96.036
42434559,42434722,198.408
42434559,1205714910,497.599
42434722,1209796168,346.354
42434780,42434722,91.28
42434800,42428220,109.779
42434800,42429874,78.263
42434807,42434810,273.613
42434807,42439842,77.987
42434810,42435633,76.298
42434821,42430600,274.301
42434821,42438674,76.981
42434827,42438684,80.47
42434832,42436971,41.624
42434833,42434832,60.004
42434833,42427750,227.398
42434839,42438779,79.032
42434839,42430126,80.846
42434842,42434839,38.554
42434842,42434855,74.912
42434845,42445702,74.923
42434845,42434842,21.387
42434855,42445700,48.838
42434855,42430122,46.171
42434871,42436056,71.926
42434894,42436614,80.025
42434894,596775825,25.308
42434895,42430479,80.109
42434895,42434894,143.134
42434898,42434895,154.671
42434898,42436624,78.138
42434904,42425127,79.583
42434905,42434904,154.212
42434905,42436610,79.925
42434910,42434912,229.272
42434910,42436630,80.421
42434912,42430485,80.004
42434935,589927943,53.712
42434935,2140997997,79.079
42434946,42437644,84.931
42434946,42430308,309.945
42434948,42434946,153.714
42434948,42445908,79.3
42434951,561042191,18.245
42434951,42458333,79.006
42434954,42445374,84.58
42434954,42434951,147.525
42434959,42434954,153.084
42434959,42449932,78.384
42434962,42434965,132.953
42434962,42445382,83.69
42434962,42434959,82.093
42434965,42434962,132.953
42434965,5131026388,84.52
42434969,42434965,64.058
42434969,42454495,76.027
42434974,42455915,78.903
42434974,42434969,165.841
42434989,42434992,140.578
42434989,42439783,14.955
42434989,42442722,76.742
42434992,42433043,135.052
42434992,42455245,76.312
42434992,42454622,82.366
42435002,42449801,80.706
42435197,765367023,38.841
42435197,42432218,303.009
42435198,42442717,73.121
42435198,765367023,55.444
42435198,42439783,67.021
42435207,42453226,304.02
42435207,42439485,80.296
42435211,42435207,155.696
42435211,42443817,79.358
42435222,596776624,24.818
42435222,42443818,79.232
42435230,42435222,142.871
42435230,42439489,80.022
42435231,42443821,77.731
42435231,42435230,154.891
42435234,42435231,216.272
42435234,42439497,80.611
42435237,42443824,79.607
42435237,42435234,227.992
42435240,371218803,192.158
42435240,42435237,216.537
42435240,42439506,80.032
42435240,42443826,81.771
42435253,1061531447,186.267
42435253,42435257,79.419
42435253,5706568625,79.243
42435257,7802856365,79.415
42435257,42435253,79.419
42435272,42437384,273.186
42435272,42435275,86.908
42435272,7802856356,79.235
42435275,42443336,273.039
42435275,42432556,85.869
42435275,42435272,86.908
42435283,42435295,80.223
42435283,42432556,81.361
42435295,42443344,273.898
42435295,42435301,80.982
42435295,42435283,80.223
42435301,42424225,85.338
42435301,42435295,80.982
42435308,42421800,80.571
42435308,42433564,80.737
42435308,42437300,273.194
42435316,4016646206,273.83
42435316,42435317,79.155
42435316,42431447,79.396
42435317,42435319,79.301
42435317,42435316,79.155
42435319,42443366,275.447
42435319,42435317,79.301
42435319,42435323,79.437
42435323,42435328,79.879
42435323,42435319,79.437
42435328,42443373,274.589
42435328,42435323,79.879
42435328,42424439,86.046
42435331,42447275,137.904
42435331,42435333,80.103
42435331,42425570,82.752
42435333,7801840675,80.046
42435333,42435331,80.103
42435336,42435337,80.052
42435336,7801840675,79.786
42435337,42437916,137.997
42435337,42421728,85.345
42435337,42435336,80.052
42435341,42435343,79.683
42435341,42432736,80.117
42435343,42447303,137.974
42435343,42435341,79.683
42435343,42435346,49.48
42435346,42435343,49.48
42435346,4016646214,49.156
42435359,42443426,76.058
42435359,5838916777,138.499
42435359,42442569,267.982
42435359,42431186,251.974
42435360,42435362,83.293
42435360,42431186,83.052
42435362,42435360,83.293
42435362,1506445821,85.439
42435380,3579432161,141.55
42435380,3579432162,188.046
42435380,3579432160,87.207
42435387,42446772,304.294
42435387,42437201,234.119
42435388,42435387,155.101
42435388,42446161,87.919
42435392,596776534,25.468
42435392,42458342,87.467
42435395,42447196,237.484
42435395,42435392,142.605
42435396,42435395,155.083
42435396,42450071,85.423
42435400,4207962275,229.586
42435400,42456115,87.358
42435403,42435400,214.443
42435403,42448278,86.157
42435412,1203709420,31.645
42435412,42445051,80.236
42435412,42445046,78.24
42435415,42435412,178.665
42435415,42455493,85.117
42435415,42451736,79.457
42435420,42430288,273.948
42435420,42427805,76.949
42435422,42435420,80.129
42435422,4443775465,273.465
42435435,7132405535,166.343
42435451,42432246,78.218
42435451,6123654602,27.413
42435451,42435456,128.637
42435456,42445612,75.44
42435456,42435470,141.253
42435470,42432282,76.142
42435470,42432174,135.714
42435477,1918039869,180.963
42435477,42445498,73.792
42435491,42445511,37.226
42435491,1692433914,98.707
42435497,42435499,154.25
42435497,42448203,82.371
42435499,596776120,145.86
42435499,42446036,79.993
42435504,42435509,147.436
42435504,42458766,79.809
42435509,42435514,155.088
42435509,42447126,80.506
42435514,42435516,215.68
42435514,42450028,80.779
42435516,42435518,228.758
42435516,42443032,80.928
42435518,42428032,216.62
42435518,42456066,80.491
42435522,589298105,91.683
42435522,42451766,79.984
42435522,42448257,81.103
42435534,42432091,66.02
42435534,42427340,80.258
42435538,11038072433,175.088
42435538,42435541,76.595
42435541,42429811,64.42
42435541,42435544,76.604
42435544,42435550,151.063
42435550,42452117,172.46
42435550,42429814,64.862
42435550,42435553,77.034
42435553,42435556,74.078
42435556,42446424,77.929
42435556,42424641,68.395
42435567,42746772,148.517
42435567,42431724,107.1
42435567,5871416389,177.829
42435578,42435581,84.659
42435578,42439078,76.949
42435581,42436427,124.042
42435581,6518638079,14.062
42435596,42435598,88.925
42435596,42436439,253.576
42435596,42439823,271.371
42435598,42435599,79.561
42435598,387180916,273.333
42435599,4205565514,29.497
42435599,42439830,274.053
42435603,9774113889,7.547
42435603,42429662,74.306
42435610,42427381,73.396
42435610,42444916,277.942
42435624,6279091713,8.151
42435624,42427427,83.058
42435624,42437890,273.432
42435629,42435632,78.494
42435629,42444928,277.539
42435632,42434810,81.055
42435632,42439842,273.432
42435633,42427812,79.051
42435633,42438547,273.134
42435642,42444954,275.199
42435642,42435644,84.628
42435644,42437654,273.788
42435644,42437663,275.922
42435644,42435645,83.837
42435645,42444960,276.61
42435645,42435646,78.68
42435646,42439955,273.144
42435646,42435650,77.844
42435650,4491359481,275.023
42435650,42433620,78.123
42435654,42435657,78.505
42435654,42444985,274.114
42435657,42435660,78.592
42435657,42439968,273.524
42435660,42445001,275.536
42435660,42435663,84.608
42435663,5849918504,86.182
42435663,42437363,273.954
42435663,42437368,274.928
42435671,42439984,272.719
42435671,42432700,79.663
42435675,42439990,274.033
42435675,42435677,78.989
42435677,42445020,273.768
42435677,42435680,79.731
42435680,42428305,211.627
42435680,42432589,79.84
42435684,42428308,193.021
42435684,42435687,78.94
42435687,42445025,273.818
42435687,42435702,80.897
42435702,42428312,186.531
42435702,42435705,77.126
42435705,42435707,81.389
42435705,1815133244,273.773
42435707,42428315,168.9
42435707,42435710,80.695
42435710,42431556,75.748
42435710,42440960,274.251
42435714,42428329,94.558
42435714,42435716,87.316
42435714,42445037,274.306
42435716,42428332,59.547
42435716,1825841704,40.776
42435736,3247295579,35.574
42435736,42435743,56.26
42435743,42435746,78.765
42435743,42435736,56.26
42435743,42446733,139.862
42435746,42431207,80.415
42435746,42435743,78.765
42435746,42437211,265.498
42435755,42435761,79.835
42435755,42431207,79.501
42435755,42448506,266.017
42435761,42435763,85.533
42435761,42435755,79.835
42435761,42446778,139.856
42435763,42437188,140.341
42435763,42435766,85.958
42435763,42435761,85.533
42435763,7620445877,246.03
42435766,42447323,140.885
42435766,4708064890,80.551
42435766,42435763,85.958
42435775,42447330,140.135
42435775,42429741,80.013
42435775,4708064890,79.245
42435785,42445219,140.497
42435785,6431058183,20.839
42435785,42429741,79.575
42435794,6431058183,58.912
42435794,42435802,79.625
42435794,42439858,266.157
42435802,42435803,80.323
42435802,42435794,79.625
42435802,42432926,84.48
42435803,42439860,267.351
42435803,42435805,86.06
42435803,42435802,80.323
42435805,4888388399,85.159
42435805,42432929,135.861
42435805,42439861,267.31
42435805,42435803,86.06
42435810,4888388399,80.687
42435810,42435814,79.511
42435810,42432932,123.526
42435814,1905863520,79.291
42435814,42435810,79.511
42435825,42429538,81.694
42435825,1905863520,153.76
42435837,42436003,266.231
42435837,42435844,85.837
42435837,42434113,79.155
42435844,42439588,140.8
42435844,42439887,266.22
42435844,42435850,84.911
42435844,42435837,85.837
42435850,42439891,266.384
42435850,42435852,79.428
42435850,42435844,84.911
42435852,42439598,132.983
42435852,42435856,79.331
42435852,42435850,79.428
42435856,42435967,265.677
42435856,42435858,79.111
42435856,42435852,79.331
42435858,42439599,132.74
42435858,42433785,79.611
42435858,42435856,79.111
42435860,42439601,132.711
42435860,42435861,79.219
42435860,42433785,78.722
42435861,42438281,265.847
42435861,42435863,79.428
42435861,42435860,79.219
42435863,42440052,114.639
42435863,42435865,79.013
42435863,42435861,79.428
42435865,42439910,266.189
42435865,42440053,105.601
42435865,42434249,85.884
42435865,42435863,79.013
42435869,42439922,266.054
42435869,42435873,79.363
42435869,42434249,84.897
42435873,42440059,95.111
42435873,42435876,79.386
42435873,42435869,79.363
42435876,42439225,265.522
42435876,42434308,79.298
42435876,42435873,79.386
42435880,42443574,56.283
42435880,42435881,49.184
42435880,42434308,29.648
42435881,42443574,27.495
42435881,42435885,79.364
42435881,42435880,49.184
42435885,42440069,95.203
42435885,42435891,79.302
42435885,42435881,79.364
42435891,42444028,107.564
42435891,42435894,79.566
42435891,42435885,79.302
42435894,42440075,96.591
42435894,42435898,79.149
42435894,42435891,79.566
42435898,42438018,112.828
42435898,589927879,85.843
42435898,42435894,79.149
42435910,42435916,225.21
42435910,42431990,74.12
42435910,42437124,81.622
42435916,42433539,75.687
42435916,496707000,32.558
42435916,42435910,225.21
42435920,496707000,38.561
42435920,5706568658,82.614
42435922,42435923,191.795
42435922,42433545,75.722
42435923,42435925,129.416
42435923,7480301986,75.235
42435925,42437768,81.177
42435925,42435928,128.695
42435928,588455700,157.313
42435928,42433551,76.436
42435931,588455701,50.531
42435931,7499263656,330.668
42435931,42433554,84.01
42435940,42442609,78.355
42435940,42442604,159.559
42435943,42435940,201.434
42435943,561035354,66.386
42435957,3099327976,13.99
42435957,3099327930,82.286
42435967,2141026542,15.893
42435967,42439894,79.96
42435981,42435856,133.016
42435981,42439599,79.135
42435981,42439598,79.566
42435988,42435990,32.429
42435990,42435993,25.607
42435990,42435988,32.429
42435990,42437801,85.934
42435993,42435990,25.607
42435997,42438836,88.636
42435997,42434098,81.32
42436001,42453258,85.709
42436003,2141026494,15.06
42436003,42434111,79.512
42436014,42436017,129.923
42436014,4629486879,34.711
42436014,4142105822,41.389
42436017,42436021,68.168
42436017,42436069,72.588
42436021,42436024,87.208
42436021,42445171,72.972
42436024,42445174,72.794
42436050,42436326,132.682
42436050,42430519,73.376
42436055,42436335,130.808
42436055,5812723035,71.656
42436056,42436055,76.256
42436056,4207143418,164.303
42436060,42436308,130.646
42436060,42434871,78.811
42436064,42440916,67.323
42436064,42436060,75.314
42436069,42436340,130.209
42436069,42436064,73.463
42436073,4142105811,83.36
42436073,42436017,74.132
42436083,4142105812,10.769
42436083,42440850,89
42436083,42436088,137.886
42436088,42442288,63.315
42436088,42436093,83.339
42436093,42436097,81.159
42436093,42436359,131.078
42436097,42436100,81.259
42436100,42436369,129.178
42436100,42436109,80.076
42436109,42448568,64.203
42436109,42436115,81.865
42436115,42436374,122.886
42436115,42436119,80.962
42436119,42456986,73.419
42436119,42436122,82.195
42436122,42436381,109.378
42436122,42436126,81.154
42436126,42452006,82.915
42436126,42436129,123.703
42436129,42436894,94.684
42436129,42436134,81.057
42436134,42436396,91.401
42436134,42436135,80.207
42436135,42452610,114.209
42436135,42436139,79.295
42436139,42436142,83.225
42436139,42436404,79.904
42436142,42449089,134.541
42436142,42436146,78.323
42436146,42436411,68.857
42436146,42436149,60.309
42436149,42436152,65.946
42436149,42459436,147.95
42436152,42436155,65.866
42436152,42436423,65.569
42436155,42454758,141.883
42436155,42431505,68.946
42436159,42431151,29.688
42436159,42455357,134.124
42436178,4149936245,7.383
42436178,4149936235,41.969
42436181,42446622,58.76
42436181,4149936245,96.773
42436184,42452310,76.874
42436184,42436181,89.108
42436187,42436184,46.375
42436192,42436187,28.962
42436192,42456888,85.396
42436202,4149936235,101.791
42436283,42436285,103.024
42436283,42442764,148.947
42436283,42445672,88.857
42436285,42436283,103.024
42436285,42436288,139.079
42436285,42442764,79.956
42436285,42442755,85.746
42436288,42455335,79.28
42436288,42445675,86.731
42436288,42433080,134.061
42436293,42429083,140.186
42436293,42449653,78.955
42436293,42445680,86.787
42436296,42436297,128.065
42436296,42429083,86.886
42436296,42445689,122.431
42436297,42427216,308.769
42436297,42442384,126.99
42436297,42436296,128.065
42436301,1763608189,5.794
42436301,42454089,213.053
42436308,42424408,73.413
42436313,42436060,67.759
42436313,42440916,77.264
42436316,42436313,92.568
42436316,42440918,77.981
42436322,42430571,82.064
42436322,5812723036,154.025
42436326,42436327,38.047
42436327,42436330,41.255
42436327,42452816,132.016
42436330,42436333,43.458
42436333,42436335,29.963
42436335,42453038,149.994
42436335,42436336,75.201
42436336,42424610,76.148
42436336,42436056,130.793
42436340,42436014,71.843
42436340,42424408,312.896
42436353,42436355,74.216
42436355,4616536351,144.45
42436355,42436359,83.82
42436359,42436364,81.449
42436364,42436369,80.744
42436364,42436097,130.71
42436369,42436371,80.371
42436369,42455200,150.861
42436371,42436109,129.037
42436371,42436374,81.435
42436374,8648032265,100.674
42436374,42436377,81.88
42436377,42436119,116.097
42436377,42436381,80.734
42436381,42431528,182.189
42436381,42436384,81.274
42436384,42436126,102.166
42436384,42436390,84.51
42436390,42431536,88.231
42436390,42436393,70.62
42436393,42436396,77.048
42436393,42436129,97.653
42436396,42436400,77.987
42436396,42431804,147.743
42436400,42436135,85.837
42436400,42436404,77.759
42436404,42431812,95.891
42436404,42436407,79.879
42436407,42436411,76.838
42436407,42436142,74.33
42436411,6211334202,46.69
42436414,42436149,86.239
42436414,6211334202,43.931
42436423,42436414,37.364
42436423,42435578,78.322
42436427,42436155,72.458
42436427,42436423,65.803
42436431,42431503,72.644
42436431,42436159,88.677
42436439,4557517554,30.346
42436439,42435596,253.576
42436439,42429394,92.283
42436475,42445225,85.622
42436475,42436477,153.972
42436477,596776057,145.722
42436477,42436475,153.972
42436477,42438791,86.421
42436481,596776057,19.252
42436481,42436484,145.494
42436481,42438795,86.984
42436484,42436486,155.023
42436484,42436481,145.494
42436484,42445232,85.623
42436486,42436484,155.023
42436486,42438800,87.288
42436486,42436489,213.902
42436489,42443009,85.575
42436489,42436492,230.057
42436489,42436486,213.902
42436492,42438805,86.502
42436492,42428007,216.717
42436492,42436489,230.057
42436510,4347534783,76.911
42436511,42436510,156.19
42436511,42445961,79.25
42436514,596775930,17.625
42436514,42459114,79.619
42436516,42436514,147.603
42436516,42447020,77.631
42436519,42436516,154.876
42436519,42449982,79.111
42436527,42436519,214.804
42436527,6176483595,79.979
42436531,593300940,135.577
42436531,42456049,80.127
42436537,42445731,80.245
42436539,42444810,79.077
42436539,42436537,153.399
42436541,596776150,17.751
42436541,42444812,78.944
42436544,42445738,79.266
42436544,42436541,147.333
42436546,42436544,154.99
42436546,42444817,79.374
42436549,42436546,215.511
42436549,42443042,80.238
42436551,42436549,229.296
42436551,42444820,78.363
42436556,42428045,222.708
42436556,42445757,80.87
42436563,482807376,89.239
42436563,42437481,175.705
42436567,592484776,99.264
42436567,42424864,68.547
42436575,4597668029,152.297
42436575,42445879,78.404
42436578,42436582,150.423
42436578,42456555,77.886
42436582,42436586,154.068
42436582,42446925,83.693
42436586,42436590,215.48
42436586,4138911201,79.03
42436586,42448701,84.175
42436590,3430331121,84.061
42436590,42442889,84.551
42436598,3430331122,74.515
42436598,42455897,77.488
42436604,42434904,80.636
42436604,42436610,153.675
42436610,42446132,79.803
42436610,596776413,143.205
42436614,42459041,79.652
42436614,42436619,143.398
42436619,42436624,154.803
42436619,42434895,79.882
