index,osmid,y,x,street_count,highway,ref,geometry
666,42439249,40.729878,-73.990734,4,traffic_signals,,POINT (-73.990734 40.729878)
667,42439272,40.7379242,-73.9922478,4,traffic_signals,,POINT (-73.9922478 40.7379242)
668,42439275,40.74047,-73.998287,4,traffic_signals,,POINT (-73.998287 40.74047)
669,42439280,40.7428829,-74.0039992,4,traffic_signals,,POINT (-74.0039992 40.7428829)
670,42439286,40.744061,-74.006811,4,traffic_signals,,POINT (-74.006811 40.744061)
671,42439295,40.7446855,-74.0082567,4,traffic_signals,,POINT (-74.0082567 40.7446855)
672,42439323,40.732664,-73.9816006,4,traffic_signals,,POINT (-73.9816006 40.732664)
673,42439335,40.7268704,-74.0031066,3,,,POINT (-74.0031066 40.7268704)
674,42439345,40.727157,-74.005545,4,traffic_signals,,POINT (-74.005545 40.727157)
675,42439440,40.749706,-73.991563,3,traffic_signals,,POINT (-73.991563 40.749706)
676,42439527,40.725252,-74.003376,4,traffic_signals,,POINT (-74.003376 40.725252)
677,42439530,40.7264953,-74.0023512,4,traffic_signals,,POINT (-74.0023512 40.7264953)
678,42439533,40.7277329,-74.0013516,4,traffic_signals,,POINT (-74.0013516 40.7277329)
679,42439537,40.7300598,-73.9993655,4,traffic_signals,,POINT (-73.9993655 40.7300598)
680,42439542,40.730669,-73.998842,3,,,POINT (-73.998842 40.730669)
681,42439580,40.719193,-73.999841,4,traffic_signals,,POINT (-73.999841 40.719193)
682,42439581,40.719552,-74.000622,3,,,POINT (-74.000622 40.719552)
683,42439583,40.720341,-74.002221,3,,,POINT (-74.002221 40.720341)
684,42439823,40.7385578,-73.99968,4,traffic_signals,,POINT (-73.99968 40.7385578)
685,42439826,40.7392462,-73.9991824,4,traffic_signals,,POINT (-73.9991824 40.7392462)
686,42439830,40.739881,-73.998713,4,traffic_signals,,POINT (-73.998713 40.739881)
687,42439834,40.741642,-73.997434,4,traffic_signals,,POINT (-73.997434 40.741642)
688,42439836,40.742811,-73.99658,4,traffic_signals,,POINT (-73.99658 40.742811)
689,42439840,40.745383,-73.994709,4,traffic_signals,,POINT (-73.994709 40.745383)
690,42439842,40.7460045,-73.9942616,4,traffic_signals,,POINT (-73.9942616 40.7460045)
