index,osmid,y,x,highway,street_count,ref,geometry
8572,103243980,40.8400003,-74.0086869,,1,,POINT (-74.0086869 40.8400003)
8573,103243981,40.840607,-74.008372,,3,,POINT (-74.008372 40.840607)
8574,103243982,40.842732,-74.007493,,1,,POINT (-74.007493 40.842732)
8575,103243988,40.836449,-74.010223,,1,,POINT (-74.010223 40.836449)
8576,103243990,40.8357939,-74.0104963,,1,,POINT (-74.0104963 40.8357939)
8577,103244100,40.847864,-74.005258,,1,,POINT (-74.005258 40.847864)
8578,103244282,40.8300507,-73.9909941,,3,,POINT (-73.9909941 40.8300507)
8579,103244284,40.8307093,-73.9905526,,3,,POINT (-73.9905526 40.8307093)
8580,103244754,40.86206,-73.971128,,3,,POINT (-73.971128 40.86206)
8581,103244862,40.8187301,-74.005323,,1,,POINT (-74.005323 40.8187301)
8582,103244876,40.8679427,-73.9888926,,3,,POINT (-73.9888926 40.8679427)
8583,103245158,40.8551964,-73.9862132,,3,,POINT (-73.9862132 40.8551964)
8584,103245160,40.8573677,-73.9841701,,3,,POINT (-73.9841701 40.8573677)
8585,103245162,40.858734,-73.982751,,3,,POINT (-73.982751 40.858734)
8586,103245198,40.8298272,-73.9830291,,4,,POINT (-73.9830291 40.8298272)
8587,103245200,40.830195,-73.983674,,3,,POINT (-73.983674 40.830195)
8588,103245202,40.830455,-73.984129,,1,,POINT (-73.984129 40.830455)
8589,103245338,40.8692267,-73.961859,,1,,POINT (-73.961859 40.8692267)
8590,103245609,40.868657,-73.988472,,3,,POINT (-73.988472 40.868657)
8591,103245909,40.8696,-73.96264,,1,,POINT (-73.96264 40.8696)
8592,103245917,40.812897,-73.998836,,3,,POINT (-73.998836 40.812897)
8593,103245919,40.812926,-73.998799,,3,,POINT (-73.998799 40.812926)
8594,103245921,40.813902,-73.997574,,3,,POINT (-73.997574 40.813902)
8595,103245929,40.8165736,-73.994779,,4,,POINT (-73.994779 40.8165736)
8596,103245943,40.8255775,-73.9877096,,4,,POINT (-73.9877096 40.8255775)
8597,103245947,40.8260585,-73.9874859,,3,,POINT (-73.9874859 40.8260585)
8598,103245949,40.8276443,-73.9867927,,4,,POINT (-73.9867927 40.8276443)
8599,103245953,40.8283333,-73.9865071,,3,,POINT (-73.9865071 40.8283333)
8600,103245957,40.8303979,-73.9855832,,3,,POINT (-73.9855832 40.8303979)
8601,103245962,40.8360029,-73.9830932,,3,,POINT (-73.9830932 40.8360029)
8602,103245965,40.841742,-73.980276,,3,,POINT (-73.980276 40.841742)
8603,103245968,40.8443765,-73.9788822,,3,,POINT (-73.9788822 40.8443765)
8604,103245970,40.847157,-73.978601,,3,,POINT (-73.978601 40.847157)
8605,103245972,40.8490438,-73.9781905,,3,,POINT (-73.9781905 40.8490438)
8606,103245976,40.849669,-73.977855,,3,,POINT (-73.977855 40.849669)
8607,103245978,40.850477,-73.977189,,3,,POINT (-73.977189 40.850477)
8608,103245984,40.852414,-73.97547,,3,,POINT (-73.97547 40.852414)
8609,103245991,40.8534879,-73.9744493,,3,,POINT (-73.9744493 40.8534879)
8610,103246036,40.879839,-74.000808,,3,,POINT (-74.000808 40.879839)
8611,103246038,40.8809219,-74.0002197,,3,,POINT (-74.0002197 40.8809219)
8612,103247019,40.8711735,-74.0058956,,3,,POINT (-74.0058956 40.8711735)
8613,103247038,40.8719751,-74.0078448,,3,,POINT (-74.0078448 40.8719751)
8614,103247060,40.872255,-74.0123002,,3,,POINT (-74.0123002 40.872255)
8615,103247066,40.8728717,-74.0144984,,3,,POINT (-74.0144984 40.8728717)
8616,103247067,40.8752304,-74.0207294,,4,,POINT (-74.0207294 40.8752304)
8617,103247069,40.8758563,-74.0223569,,3,,POINT (-74.0223569 40.8758563)
8618,103247100,40.819569,-73.9846488,,1,,POINT (-73.9846488 40.819569)
8619,103247210,40.8637644,-73.9667497,,1,,POINT (-73.9667497 40.8637644)
8620,103247212,40.864815,-73.965727,,3,,POINT (-73.965727 40.864815)
8621,103247321,40.8366933,-73.9752926,,1,,POINT (-73.9752926 40.8366933)
8622,103247325,40.8370683,-73.9766324,,3,,POINT (-73.9766324 40.8370683)
8623,103247476,40.8275385,-73.9911751,,4,,POINT (-73.9911751 40.8275385)
8624,103247477,40.829222,-73.9895218,,4,,POINT (-73.9895218 40.829222)
8625,103247609,40.877942,-74.0240461,,1,,POINT (-74.0240461 40.877942)
8626,103247755,40.868036,-74.024373,,4,,POINT (-74.024373 40.868036)
8627,103247757,40.869312,-74.023763,,4,,POINT (-74.023763 40.869312)
8628,103247762,40.870682,-74.023564,,4,,POINT (-74.023564 40.870682)
8629,103247940,40.8741468,-73.9625485,,3,,POINT (-73.9625485 40.8741468)
8630,103247948,40.8768515,-73.960048,,4,,POINT (-73.960048 40.8768515)
8631,103247958,40.8784127,-73.9584174,,3,,POINT (-73.9584174 40.8784127)
8632,103247974,40.878905,-73.9574716,,3,,POINT (-73.9574716 40.878905)
8633,103247981,40.8791662,-73.9559198,,3,,POINT (-73.9559198 40.8791662)
8634,103247986,40.8796323,-73.9551246,,3,,POINT (-73.9551246 40.8796323)
8635,103249320,40.8808402,-74.0115159,,3,,POINT (-74.0115159 40.8808402)
8636,103249322,40.881892,-74.01485,,4,,POINT (-74.01485 40.881892)
8637,103250496,40.868332,-73.9717807,,3,,POINT (-73.9717807 40.868332)
8638,103250670,40.846408,-73.984371,,4,,POINT (-73.984371 40.846408)
8639,103250704,40.8437924,-73.9691671,,1,,POINT (-73.9691671 40.8437924)
8640,103251843,40.862875,-73.969972,,3,,POINT (-73.969972 40.862875)
8641,103252256,40.8512772,-74.0036531,,1,,POINT (-74.0036531 40.8512772)
8642,103252258,40.8519897,-74.003115,,1,,POINT (-74.003115 40.8519897)
8643,103252471,40.867584,-73.96439,,3,,POINT (-73.96439 40.867584)
8644,103252473,40.868801,-73.966599,,4,,POINT (-73.966599 40.868801)
8645,103252563,40.8702681,-74.0220291,,3,,POINT (-74.0220291 40.8702681)
8646,103253539,40.838704,-73.971107,,1,,POINT (-73.971107 40.838704)
8647,103253557,40.864928,-73.96592,,3,,POINT (-73.96592 40.864928)
8648,103253559,40.86362,-73.963684,,3,,POINT (-73.963684 40.86362)
8649,103253562,40.8623046,-73.961526,,4,,POINT (-73.961526 40.8623046)
8650,103254094,40.851129,-73.969755,traffic_signals,4,,POINT (-73.969755 40.851129)
8651,103254492,40.85828,-73.981965,,3,,POINT (-73.981965 40.85828)
8652,103254495,40.85881,-73.981427,,3,,POINT (-73.981427 40.85881)
8653,103254688,40.8170704,-74.0057658,turning_circle,1,,POINT (-74.0057658 40.8170704)
8654,103255381,40.8792058,-74.0188926,,3,,POINT (-74.0188926 40.8792058)
8655,103255389,40.8081117,-73.9933438,,1,,POINT (-73.9933438 40.8081117)
